problem_number,execution_time,variables,clauses,problem_type
2200,3576,18,180,S
2201,19006,18,180,S
2202,24883,18,180,U
2203,10088,18,180,S
2204,11296,18,180,U
2205,2543,18,180,S
2206,7101,18,180,S
2207,15351,18,180,U
2208,17382,18,180,U
2209,16875,18,180,S
2210,16283,20,200,S
2211,18698,20,200,S
2212,12047,20,200,U
2213,30202,20,200,U
2214,26495,20,200,S
2215,14906,20,200,U
2216,23071,20,200,U
2217,27335,20,200,U
2218,3915,20,200,S
2219,6876,20,200,S
2220,1672,22,220,S
2221,17592,22,220,S
2222,3647,22,220,S
2223,3655,22,220,S
2224,34343,22,220,S
2225,26006,22,220,U
2226,28327,22,220,U
2227,2286,22,220,S
2228,19048,22,220,U
2229,39198,22,220,U
2230,52343,24,240,U
2231,69555,24,240,U
2232,82342,24,240,S
2233,48873,24,240,U
2234,53982,24,240,U
2235,4776,24,240,S
2236,42636,24,240,U
2237,61259,24,240,U
2238,3474,24,240,S
2239,98284,24,240,U
